Date,Home_Team,Away_Team,Line,Over_Odds,Under_Odds,URL
2021-08-08,Aston Villa,Salernitana,9.0,1.925,1.875,https://www.totalcorner.com/stats/Aston-Villa-vs-Salernitana/106347356
2021-08-08,Liverpool,Athletic Bilbao,8.5,1.925,1.875,https://www.totalcorner.com/stats/Liverpool-vs-Athletic-Bilbao/106248288
2021-08-08,Tottenham,Arsenal,8.5,1.875,1.925,https://www.totalcorner.com/stats/Tottenham-vs-Arsenal/106240965
2021-08-07,Leicester,Man City,9.5,2.0,1.8,https://www.totalcorner.com/stats/Leicester-vs-Man-City/105226317
2021-08-07,Wolverhampton,Celta Vigo,8.5,1.875,1.925,https://www.totalcorner.com/stats/Wolverhampton-vs-Celta-Vigo/106142579
2021-08-07,Southampton,Athletic Bilbao,8.5,1.925,1.875,https://www.totalcorner.com/stats/Southampton-vs-Athletic-Bilbao/106202817
2021-08-07,Brighton,Getafe,8.5,1.925,1.875,https://www.totalcorner.com/stats/Brighton-vs-Getafe/106224658
2021-08-07,Sheff Utd,Birmingham,9.5,1.875,1.925,https://www.totalcorner.com/stats/Sheff-Utd-vs-Birmingham/104427544
2021-08-07,Crystal Palace,Watford,8.5,1.825,1.975,https://www.totalcorner.com/stats/Crystal-Palace-vs-Watford/106224641
2021-08-07,Newcastle,Norwich,9.0,1.975,1.825,https://www.totalcorner.com/stats/Newcastle-vs-Norwich/106224630
2021-08-07,Man Utd,Everton,8.5,1.875,1.925,https://www.totalcorner.com/stats/Man-Utd-vs-Everton/106142679
2021-08-07,West Ham,Atalanta,9.0,1.9,1.9,https://www.totalcorner.com/stats/West-Ham-vs-Atalanta/106224646
2021-08-06,Bournemouth,West Brom,10.0,1.975,1.825,https://www.totalcorner.com/stats/Bournemouth-vs-West-Brom/104427517
2021-08-04,Leicester,Villarreal,8.5,2.0,1.8,https://www.totalcorner.com/stats/Leicester-vs-Villarreal/106092331
2021-08-04,Chelsea,Tottenham,8.5,1.925,1.875,https://www.totalcorner.com/stats/Chelsea-vs-Tottenham/106092612
2021-08-04,Southampton,Levante,8.5,1.825,1.975,https://www.totalcorner.com/stats/Southampton-vs-Levante/106092318
2021-08-04,Ajax,Leeds,9.5,2.0,1.8,https://www.totalcorner.com/stats/Ajax-vs-Leeds/106092323
2021-07-31,Stoke,Wolverhampton,8.0,1.825,1.975,https://www.totalcorner.com/stats/Stoke-vs-Wolverhampton/105913745
2021-07-31,Leeds,Real Betis,9.0,1.875,1.925,https://www.totalcorner.com/stats/Leeds-vs-Real-Betis/105913767
2021-07-31,Swansea,Southampton,9.0,1.825,1.975,https://www.totalcorner.com/stats/Swansea-vs-Southampton/105913760
2021-07-31,Birmingham,West Brom,8.5,1.875,1.925,https://www.totalcorner.com/stats/Birmingham-vs-West-Brom/105914469
2021-07-31,Brentford,West Ham,8.0,1.825,1.975,https://www.totalcorner.com/stats/Brentford-vs-West-Ham/105913778
2021-07-31,QPR,Leicester,9.0,1.825,1.975,https://www.totalcorner.com/stats/QPR-vs-Leicester/105913785
2021-07-30,Burton Albion,Newcastle,9.0,1.975,1.825,https://www.totalcorner.com/stats/Burton-Albion-vs-Newcastle/105872353
2021-07-30,Fleetwood Town,Leeds,9.5,1.975,1.825,https://www.totalcorner.com/stats/Fleetwood-Town-vs-Leeds/105848166
2021-07-29,Hertha Berlin,Liverpool,9.0,1.825,1.975,https://www.totalcorner.com/stats/Hertha-Berlin-vs-Liverpool/105848146
2021-07-28,Wycombe,Leicester,8.5,1.825,1.975,https://www.totalcorner.com/stats/Wycombe-vs-Leicester/105784682
2021-07-28,Blackburn,Leeds,9.0,1.975,1.825,https://www.totalcorner.com/stats/Blackburn-vs-Leeds/105784674
2021-07-28,Milton Keynes Dons,Tottenham,8.5,1.925,1.875,https://www.totalcorner.com/stats/Milton-Keynes-Dons-vs-Tottenham/105784685
2021-07-28,Doncaster,Sheff Utd,9.0,1.975,1.825,https://www.totalcorner.com/stats/Doncaster-vs-Sheff-Utd/105832596
2021-07-28,Everton,Unam Pumas,8.5,1.825,1.975,https://www.totalcorner.com/stats/Everton-vs-Unam-Pumas/105791145
2021-07-28,Man Utd,Brentford,8.0,1.825,1.975,https://www.totalcorner.com/stats/Man-Utd-vs-Brentford/105784639
2021-07-27,Crystal Palace,Charlton,8.5,1.825,1.975,https://www.totalcorner.com/stats/Crystal-Palace-vs-Charlton/105752056
2021-07-27,Bournemouth,Chelsea,8.5,1.875,1.925,https://www.totalcorner.com/stats/Bournemouth-vs-Chelsea/105752059
2021-07-27,Rotherham,Newcastle,9.0,1.975,1.825,https://www.totalcorner.com/stats/Rotherham-vs-Newcastle/105764359
2021-07-27,Walsall,West Brom,9.0,1.975,1.825,https://www.totalcorner.com/stats/Walsall-vs-West-Brom/105760248
